Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Year
January,01/05/2019,13:19:00,01/05/2019,15:07:00,Washington,WECC,System Operations,0,Unknown,2019
January,01/06/2019,03:00:00,01/09/2019,07:00:00,Washington,WECC,Severe Weather,230,230000,2019
January,01/06/2019,17:56:00,01/06/2019,21:52:00,California,WECC,Severe Weather,300,90382,2019
January,01/06/2019,01:00:00,01/06/2019,12:00:00,Washington,WECC,Severe Weather,Unknown,230000,2019
January,01/07/2019,20:57:00,01/07/2019,21:32:00,Michigan,RF,System Operations,0,0,2019
January,01/09/2019,11:55:00,01/09/2019,11:56:00,New Mexico,WECC,Suspicious Activity,0,0,2019
January,01/10/2019,12:19:00,01/10/2019,12:48:00,Montana,WECC,System Operations,11,2,2019
January,01/11/2019,11:36:00,01/11/2019,12:43:00,Maine,RF,System Operations,0,0,2019
January,01/12/2019,11:30:00,01/13/2019,22:00:00,Missouri,SPP RE,Severe Weather,Unknown,112530,2019
January,01/12/2019,11:30:00,Unknown,Unknown,Missouri,SERC,Severe Weather,Unknown,116600,2019
January,01/12/2019,19:20:00,01/12/2019,21:38:00,New Hampshire,NPCC,System Operations,0,0,2019
January,01/13/2019,05:30:00,01/15/2019,17:00:00,North Carolina,SERC,Severe Weather,133200,Unknown,2019
January,01/14/2019,11:10:00,Unknown,Unknown,Michigan,RF,Actual Physical Attack,Unknown,Unknown,2019
January,01/15/2019,08:00:00,01/15/2019,08:02:00,Pennsylvania,RF,Vandalism,0,0,2019
January,01/16/2019,17:26:00,01/17/2019,12:19:00,California,WECC,Severe Weather,190,126700,2019
January,01/16/2019,05:19:00,01/16/2019,07:14:00,Texas,TRE,System Operations,0,0,2019
January,01/18/2019,21:54:00,01/19/2019,00:19:00,Nebraska,MRO,Transmission Interruption,8,Unknown,2019
January,01/23/2019,07:26:00,01/23/2019,17:05:00,Colorado,WECC,System Operations,0,0,2019
January,01/24/2019,04:39:00,01/24/2019,05:16:00,Ohio,RF,System Operations,0,0,2019
January,01/28/2019,13:35:00,01/28/2019,13:40:00,Utah,WECC,Actual Physical Attack,0,0,2019
January,01/29/2019,18:34:00,01/29/2019,18:36:00,Louisiana,SERC,Transmission Interruption,Unknown,Unknown,2019
January,01/30/2019,16:30:00,Unknown,Unknown,Washington,WECC,Vandalism,0,0,2019
January,01/30/2019,04:23:00,02/02/2019,09:00:00,Illinois,SERC,Fuel Supply Deficiency,Unknown,Unknown,2019
January,01/30/2019,09:30:00,01/31/2019,18:00:00,Michigan,RF,Severe Weather,Unknown,Unknown,2019
January,01/30/2019,07:00:00,01/30/2019,08:08:00,Illinois,SERC,Severe Weather,Unknown,Unknown,2019
January,01/31/2019,21:33:00,01/31/2019,21:34:00,California,WECC,Vandalism,0,0,2019
February,02/01/2019,23:57:00,02/02/2019,08:49:00,Nevada,WECC,Vandalism,Unknown,1,2019
February,02/01/2019,05:35:00,02/01/2019,06:10:00,Massachusetts,NPCC,System Operations,0,0,2019
